source,line,function,method,endpoint,query_params,request_body,expected_response,error_handling,authentication,backend_contract,coverage_status
index.html,20679,loadBillingPanel,GET,/subscription/payments,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,20917,confirmStartTrial,POST,/subscription/trial/init,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,20977,subscribeNow,POST,/subscription/checkout,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,20993,switchPlanImmediate,POST,/subscription/change-plan,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21047,confirmScheduleDowngrade,POST,/subscription/downgrade,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21068,cancelScheduledDowngrade,POST,/subscription/downgrade/cancel,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21102,handlePaystackReturn,POST,/onboarding/payment/confirm,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,21175,handlePaystackReturn,POST,/subscription/trial/confirm,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21196,handlePaystackReturn,POST,/subscription/checkout/confirm,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,NO ROUTE MATCH,NOT TESTED
index.html,21432,renderEmployeesList,GET,/users,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21524,promptResetEmployeePassword,PATCH,/users/{dynamic}/reset-password,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21572,handleCreateEmployee,POST,/users,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21597,requestOrDeleteEmployee,DELETE,/users/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21609,requestOrDeleteEmployee,POST,/account-action-requests,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21624,toggleEmployeeDisabled,PATCH,/users/{dynamic}/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21639,renderAccountActionRequests,GET,/account-action-requests,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21709,resolveAccountActionRequest,POST,/account-action-requests/{dynamic}/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21732,bulkResolveAccountActionRequests,GET,/account-action-requests,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21750,bulkResolveAccountActionRequests,POST,/account-action-requests/{dynamic}/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21769,populateAuditLogFilterOptions,GET,/audit-logs/actions,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,21990,renderAuditLog,GET,/audit-logs?${params.toString,${params.toString,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,22040,saveCompanySettings,POST,/business-profile/,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,22276,runProductAiMarginAdvice,POST,/ai/suggest-margin,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,22297,runEditAiMarginAdvice,POST,/ai/suggest-margin,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,22378,lookupBarcode,POST,/ai/scan-barcode,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,22712,completePOSCheckout,POST,/sales/checkout,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,PARTIALLY TESTED
index.html,22865,loadBusinessDayControl,GET,/sales/current-day,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,22935,openBusinessDayHeaderOpen,POST,/sales/start-business-day,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,22957,openBusinessDayHeaderClose,POST,/sales/end-business-day,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,23039,requestBusinessDayReopen,POST,/business-days/{dynamic}/reopen-request,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,23055,directReopenBusinessDay,POST,/business-days/{dynamic}/direct-reopen,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,23073,closeHistoricalBusinessDay,POST,/business-days/{dynamic}/close,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,23093,fetchPendingReopenRequests,GET,/business-days/reopen-requests,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,23106,resolveBusinessDayReopenRequestFromPanel,POST,/business-days/reopen-requests/{dynamic}/{dynamic},none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,23132,loadBusinessDayActivity,GET,/business-days/{dynamic}/timeline,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,23156,renderSalesChart,GET,/sales/analytics,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,no local handler visible in call window,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,23333,loadSalesHistoryPeriodTotal,GET,/financial-summary?${salesHistoryPeriodParams,${salesHistoryPeriodParams,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,23343,loadSalesHistory,GET,/sales/history?${salesHistoryPeriodParams,${salesHistoryPeriodParams,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,23447,toggleSalesHistoryDayTimeline,GET,/business-days/{dynamic}/timeline,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,23523,loadTeamPresence,GET,/presence/team,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,23663,ensureExpenseCategoriesLoaded,GET,/expenses/categories,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,23721,handleRecordExpense,POST,/expenses/,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,23781,loadExpenseHistoryFinancialTotal,GET,/financial-summary?${params.toString,${params.toString,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,23959,loadExpenseHistory,GET,/expenses/?${params.toString,${params.toString,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,24117,refreshAccessToken,POST,/auth/refresh,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,PARTIALLY TESTED
index.html,24298,validateAuthenticationSession,GET,/auth/me,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,PARTIALLY TESTED
index.html,24347,loadWarehouses,GET,/warehouses/,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,24388,loadInventoryView,GET,/products/?${params.toString,${params.toString,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,24398,loadInventoryView,GET,/products/inventory-summary?${summaryParams.toString,${summaryParams.toString,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,24468,checkSubscriptionWarningForDashboard,GET,/subscription/usage,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,24492,loadFinancialHealthCards,GET,/products/financial-intelligence,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,24521,loadProfitDashboardCards,GET,/financial-summary?period=today,period=today,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,24644,loadProfitData,GET,/financial-summary?{dynamic},{dynamic},none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,24645,loadProfitData,GET,/financial-summary/breakdown?{dynamic},{dynamic},none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,24657,loadProfitData,GET,/financial-summary?period={dynamic},period={dynamic},none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,24762,fetchBusinessBrain,GET,/business-brain,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,24926,updateBusinessBrainRecommendation,POST,/business-brain/recommendations/{dynamic}/action,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,25058,runLoadData,GET,/products/?limit=500&offset=0,limit=500&offset=0,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,25059,runLoadData,GET,/suppliers/?limit=500&offset=0,limit=500&offset=0,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,25426,adjustQuickStock,PATCH,/products/{dynamic}/stock,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,25464,handleCreateProduct,POST,/products/,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,25587,handleUpdateProductCombined,PATCH,/products/{dynamic},none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,25679,deleteProduct,DELETE,/products/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,25727,loadSuppliers,GET,/suppliers/,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,25794,handleCreateSupplier,POST,/suppliers/,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,25818,deleteSupplier,DELETE,/suppliers/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,25868,generatePOs,POST,/purchase-orders/generate,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,25888,loadPurchaseOrders,GET,/purchase-orders/,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,25990,editPurchaseOrder,PUT,/purchase-orders/{dynamic},none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26010,deletePurchaseOrder,DELETE,/purchase-orders/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26027,confirmDeleteAllPurchaseOrders,DELETE,/purchase-orders/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26043,loadPriceMonitor,GET,/price-monitor,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26078,uploadSelectedPriceList,POST,/price-monitor/upload-price-list,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26079,createPriceSource,POST,/price-monitor/sources,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26080,checkPriceSource,POST,/price-monitor/{dynamic}/check,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26081,manualPriceUpdate,POST,/price-monitor/{dynamic}/price,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26121,captureSnapshotAndAnalyze,POST,/ai/scan-invoice,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26155,handleGlobalBulkInvoiceUpload,POST,/ai/scan-invoice,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26275,renderPredictiveMonitor,GET,/products/financial-intelligence,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26428,handleCreateWarehouse,POST,/warehouses/,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26450,handleDeleteWarehouse,DELETE,/warehouses/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26474,handleStockTransfer,PATCH,/products/{dynamic}/transfer,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26492,renderProductDeletionRequests,GET,/product-deletion-requests,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26507,resolveProductDeletion,POST,/product-deletion-requests/{dynamic}/{dynamic},none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26535,refreshNotificationBadge,GET,/alerts,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26575,renderAlerts,GET,/alerts,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26577,markAlertRead,POST,/alerts/{dynamic}/read,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,Bearer header visible,MATCH,NOT TESTED
index.html,26596,fetchAIInsights,GET,/ai/insights,none in literal; inspect caller variables,none visible in call window,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
index.html,26745,sendAIChat,POST,/ai/chat,none in literal; inspect caller variables,present,JSON/dynamic fields consumed by caller; inspect source at listed line,response.ok/catch nearby,raw fetch; public/cookie-dependent,MATCH,NOT TESTED
